Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,,
2024-12-26 05:45:00+00:00,22093.0,22093.0,22096.0,22092.75,22094.0,116
2024-12-26 05:50:00+00:00,22090.25,22090.25,22096.0,22089.0,22092.25,207
2024-12-26 05:55:00+00:00,22090.25,22090.25,22093.5,22085.0,22090.0,214
2024-12-26 06:00:00+00:00,22096.0,22096.0,22098.0,22089.75,22090.25,243
2024-12-26 06:05:00+00:00,22086.0,22086.0,22096.5,22085.25,22096.5,196
2024-12-26 06:10:00+00:00,22090.5,22090.5,22091.5,22086.0,22086.75,119
2024-12-26 06:15:00+00:00,22089.75,22089.75,22090.5,22087.0,22089.5,78
2024-12-26 06:20:00+00:00,22090.0,22090.0,22092.75,22088.0,22088.75,70
2024-12-26 06:25:00+00:00,22083.75,22083.75,22088.5,22080.25,22088.5,222
2024-12-26 06:30:00+00:00,22086.5,22086.5,22088.75,22078.5,22081.5,230
2024-12-26 06:35:00+00:00,22088.0,22088.0,22089.75,22081.25,22086.0,101
2024-12-26 06:40:00+00:00,22085.0,22085.0,22088.25,22082.25,22088.25,71
2024-12-26 06:45:00+00:00,22082.75,22082.75,22084.75,22079.0,22084.0,98
2024-12-26 06:50:00+00:00,22077.25,22077.25,22084.0,22077.25,22083.0,139
2024-12-26 06:55:00+00:00,22077.25,22077.25,22081.0,22075.0,22077.25,189
2024-12-26 07:00:00+00:00,22072.5,22072.5,22079.0,22064.75,22078.0,409
2024-12-26 07:05:00+00:00,22072.5,22072.5,22076.5,22068.75,22072.0,122
2024-12-26 07:10:00+00:00,22075.0,22075.0,22075.25,22068.5,22072.75,173
2024-12-26 07:15:00+00:00,22071.5,22071.5,22075.75,22068.75,22075.0,100
2024-12-26 07:20:00+00:00,22074.0,22074.0,22074.0,22070.0,22071.0,60
2024-12-26 07:25:00+00:00,22072.0,22072.0,22076.75,22070.25,22074.25,95
2024-12-26 07:30:00+00:00,22069.25,22069.25,22075.25,22069.25,22073.0,86
2024-12-26 07:35:00+00:00,22073.0,22073.0,22073.75,22069.0,22069.75,76
2024-12-26 07:40:00+00:00,22074.5,22074.5,22076.0,22071.75,22071.75,66
2024-12-26 07:45:00+00:00,22075.0,22075.0,22076.25,22073.0,22074.75,132
2024-12-26 07:50:00+00:00,22080.5,22080.5,22083.5,22075.25,22075.5,262
2024-12-26 07:55:00+00:00,22078.25,22078.25,22082.5,22077.75,22080.75,162
2024-12-26 08:00:00+00:00,22050.25,22050.25,22078.0,22047.25,22077.5,1168
2024-12-26 08:05:00+00:00,22046.5,22046.5,22054.5,22036.5,22050.0,805
2024-12-26 08:10:00+00:00,22045.5,22045.5,22050.75,22043.25,22047.5,335
2024-12-26 08:15:00+00:00,22024.25,22024.25,22046.0,22019.25,22044.5,1119
2024-12-26 08:20:00+00:00,21991.75,21991.75,22022.5,21989.25,22022.0,1320
2024-12-26 08:25:00+00:00,21998.0,21998.0,22001.5,21984.75,21991.75,1061
2024-12-26 08:30:00+00:00,21997.5,21997.5,22001.25,21957.75,21997.5,2252
2024-12-26 08:35:00+00:00,22002.75,22002.75,22005.0,21988.75,21997.75,616
2024-12-26 08:40:00+00:00,21993.75,21993.75,22009.5,21992.5,22004.25,517
2024-12-26 08:45:00+00:00,21996.0,21996.0,21997.75,21981.0,21992.75,580
2024-12-26 08:50:00+00:00,21986.0,21986.0,21997.25,21984.25,21996.75,421
2024-12-26 08:55:00+00:00,21983.0,21983.0,21988.75,21968.75,21985.25,837
2024-12-26 09:00:00+00:00,21964.0,21964.0,21994.0,21963.5,21983.5,1263
2024-12-26 09:05:00+00:00,21976.0,21976.0,21984.0,21960.25,21963.75,777
2024-12-26 09:10:00+00:00,21956.25,21956.25,21980.75,21943.5,21976.5,1517
2024-12-26 09:15:00+00:00,21943.5,21943.5,21974.0,21942.0,21954.75,1664
2024-12-26 09:20:00+00:00,21945.5,21945.5,21954.75,21942.0,21943.5,625
2024-12-26 09:25:00+00:00,21957.0,21957.0,21959.5,21941.25,21942.5,690
2024-12-26 09:30:00+00:00,21973.75,21973.75,21982.25,21956.25,21957.5,1205
2024-12-26 09:35:00+00:00,21980.0,21980.0,21981.25,21961.0,21974.25,652
2024-12-26 09:40:00+00:00,21978.25,21978.25,21980.0,21970.0,21979.25,328
2024-12-26 09:45:00+00:00,21970.0,21970.0,21980.0,21969.25,21978.0,262
2024-12-26 09:50:00+00:00,21923.25,21923.25,21973.25,21922.0,21970.0,2067
2024-12-26 09:55:00+00:00,21932.5,21932.5,21944.75,21923.75,21926.0,977
2024-12-26 10:00:00+00:00,21905.25,21905.25,21935.0,21902.5,21933.5,1448
2024-12-26 10:05:00+00:00,21905.25,21905.25,21918.0,21894.25,21905.75,1223
2024-12-26 10:10:00+00:00,21906.75,21906.75,21910.0,21898.25,21905.5,877
2024-12-26 10:15:00+00:00,21928.75,21928.75,21930.5,21907.5,21907.5,808
2024-12-26 10:20:00+00:00,21915.5,21915.5,21928.5,21910.0,21927.25,405
2024-12-26 10:25:00+00:00,21925.75,21925.75,21926.5,21912.75,21916.0,286
2024-12-26 10:30:00+00:00,21921.5,21921.5,21928.0,21920.75,21925.0,66
2024-12-26 10:40:00+00:00,21936.25,21936.25,21939.25,21930.25,21937.19921875,1168
2024-12-26 10:45:00+00:00,21926.5,21926.5,21946.0,21922.25,21936.25,715
2024-12-26 10:50:00+00:00,21914.0,21914.0,21931.75,21912.25,21926.5,503
2024-12-26 10:55:00+00:00,21934.5,21934.5,21938.0,21916.0,21916.5,574
2024-12-26 11:00:00+00:00,21938.0,21938.0,21939.5,21920.0,21932.5,542
2024-12-26 11:05:00+00:00,21932.25,21932.25,21940.0,21926.0,21939.0,447
2024-12-26 11:10:00+00:00,21924.5,21924.5,21943.5,21918.75,21931.75,627
2024-12-26 11:15:00+00:00,21924.0,21924.0,21930.25,21917.25,21924.5,406
2024-12-26 11:20:00+00:00,21932.5,21932.5,21937.75,21922.75,21924.75,307
2024-12-26 11:25:00+00:00,21942.0,21942.0,21951.0,21933.25,21934.25,587
2024-12-26 11:30:00+00:00,21945.25,21945.25,21951.0,21941.25,21943.75,351
2024-12-26 11:35:00+00:00,21947.5,21947.5,21953.25,21942.75,21945.75,312
2024-12-26 11:40:00+00:00,21948.5,21948.5,21954.5,21947.0,21949.0,306
2024-12-26 11:45:00+00:00,21947.0,21947.0,21952.25,21938.75,21947.75,432
2024-12-26 11:50:00+00:00,21956.0,21956.0,21957.25,21945.5,21947.5,327
2024-12-26 11:55:00+00:00,21961.0,21961.0,21964.0,21954.0,21956.5,690
2024-12-26 12:00:00+00:00,21969.75,21969.75,21975.0,21960.75,21960.75,1323
2024-12-26 12:05:00+00:00,21965.5,21965.5,21970.0,21961.5,21969.0,441
2024-12-26 12:10:00+00:00,21964.75,21964.75,21969.0,21956.0,21965.5,503
2024-12-26 12:15:00+00:00,21974.75,21974.75,21974.75,21957.5,21964.5,385
2024-12-26 12:20:00+00:00,21955.75,21955.75,21977.5,21950.5,21973.0,813
2024-12-26 12:25:00+00:00,21965.5,21965.5,21970.0,21947.25,21956.0,637
2024-12-26 12:30:00+00:00,21954.75,21954.75,21967.0,21951.5,21961.5,417
2024-12-26 12:35:00+00:00,21944.75,21944.75,21958.75,21941.0,21954.5,612
2024-12-26 12:40:00+00:00,21942.5,21942.5,21947.25,21930.75,21945.25,776
2024-12-26 12:45:00+00:00,21947.0,21947.0,21949.25,21934.5,21941.75,727
2024-12-26 12:50:00+00:00,21956.25,21956.25,21958.5,21940.5,21947.5,696
2024-12-26 12:55:00+00:00,21949.25,21949.25,21963.5,21944.5,21956.25,620
2024-12-26 13:00:00+00:00,21946.25,21946.25,21956.0,21940.75,21950.25,772
2024-12-26 13:05:00+00:00,21955.75,21955.75,21956.75,21940.25,21947.0,456
2024-12-26 13:10:00+00:00,21959.0,21959.0,21960.25,21947.5,21956.25,479
2024-12-26 13:15:00+00:00,21953.5,21953.5,21960.75,21953.5,21957.25,670
2024-12-26 13:20:00+00:00,21947.25,21947.25,21960.0,21946.25,21954.5,562
2024-12-26 13:25:00+00:00,21944.5,21944.5,21952.0,21940.25,21946.25,754
2024-12-26 13:30:00+00:00,21943.75,21943.75,21950.75,21907.5,21945.25,1712
2024-12-26 13:35:00+00:00,21955.5,21955.5,21960.5,21942.0,21942.75,1206
2024-12-26 13:40:00+00:00,21950.75,21950.75,21963.5,21933.5,21955.5,1877
2024-12-26 13:45:00+00:00,21953.5,21953.5,21956.5,21941.0,21951.75,972
2024-12-26 13:50:00+00:00,21952.5,21952.5,21960.0,21942.5,21953.0,831
2024-12-26 13:55:00+00:00,21951.0,21951.0,21954.5,21945.0,21952.75,619
2024-12-26 14:00:00+00:00,21956.0,21956.0,21961.25,21941.75,21950.0,978
2024-12-26 14:05:00+00:00,21960.5,21960.5,21963.0,21949.25,21956.0,668
2024-12-26 14:10:00+00:00,21952.25,21952.25,21964.75,21947.0,21960.5,755
2024-12-26 14:15:00+00:00,21954.75,21954.75,21962.25,21949.25,21951.5,650
2024-12-26 14:20:00+00:00,21952.5,21952.5,21955.5,21939.25,21954.25,987
2024-12-26 14:25:00+00:00,21960.5,21960.5,21961.25,21949.0,21951.5,1596
2024-12-26 14:30:00+00:00,21983.25,21983.25,21991.0,21956.0,21962.0,12350
2024-12-26 14:35:00+00:00,21985.5,21985.5,22008.0,21962.5,21982.5,8765
2024-12-26 14:40:00+00:00,21983.25,21983.25,21998.75,21972.5,21983.75,5525
2024-12-26 14:45:00+00:00,21953.5,21953.5,21992.0,21950.25,21984.75,5827
2024-12-26 14:50:00+00:00,21882.25,21882.25,21956.25,21870.5,21953.0,12366
2024-12-26 14:55:00+00:00,21957.75,21957.75,21967.25,21881.75,21882.5,9912
2024-12-26 15:00:00+00:00,21968.5,21968.5,21975.5,21948.75,21957.75,7371
2024-12-26 15:05:00+00:00,21928.75,21928.75,21980.5,21928.0,21967.75,8058
2024-12-26 15:10:00+00:00,21948.25,21948.25,21954.75,21928.25,21928.25,5721
2024-12-26 15:15:00+00:00,21941.5,21941.5,21949.75,21930.75,21947.75,3310
2024-12-26 15:20:00+00:00,21982.0,21982.0,21987.0,21935.5,21941.25,6819
2024-12-26 15:25:00+00:00,21991.0,21991.0,21992.75,21970.5,21979.75,5624
2024-12-26 15:30:00+00:00,21994.5,21994.5,21998.75,21985.0,21988.5,4032
2024-12-26 15:35:00+00:00,22002.25,22002.25,22011.0,21981.75,21995.25,5383
2024-12-26 15:40:00+00:00,21974.75,21974.75,22006.0,21973.25,22001.25,4950
2024-12-26 15:45:00+00:00,21982.0,21982.0,21993.5,21968.25,21976.0,3443
2024-12-26 15:50:00+00:00,21989.5,21989.5,21998.25,21975.5,21981.0,3229
2024-12-26 15:55:00+00:00,22006.5,22006.5,22009.5,21980.0,21990.5,3459
2024-12-26 16:00:00+00:00,22004.75,22004.75,22011.25,21993.5,22007.0,3493
2024-12-26 16:05:00+00:00,22007.0,22007.0,22010.0,21997.0,22004.25,2376
2024-12-26 16:10:00+00:00,22012.75,22012.75,22018.0,22005.75,22007.0,2872
2024-12-26 16:15:00+00:00,22014.25,22014.25,22019.25,22010.0,22012.5,2795
2024-12-26 16:20:00+00:00,21989.75,21989.75,22018.25,21989.5,22015.5,3291
2024-12-26 16:25:00+00:00,21990.75,21990.75,21996.25,21975.75,21990.5,4811
2024-12-26 16:30:00+00:00,22006.25,22006.25,22013.25,21989.25,21992.0,2976
2024-12-26 16:35:00+00:00,22011.5,22011.5,22014.25,22003.5,22005.25,1781
2024-12-26 16:40:00+00:00,22032.75,22032.75,22036.25,22009.0,22011.0,4114
2024-12-26 16:45:00+00:00,22033.5,22033.5,22034.75,22023.5,22032.5,2163
2024-12-26 16:50:00+00:00,22019.5,22019.5,22033.5,22015.25,22033.0,2925
2024-12-26 16:55:00+00:00,22039.75,22039.75,22040.5,22019.5,22019.5,2944
